编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
,工业用地,盐城市,阜宁县,盐城井源机械科技有限公司,阜城街道办事处城东村,50,挂牌出让,,212,,,,2020年1月22日,1.000048,1.002.00,,盐城井源机械科技有限公司,,,,,,,,,,,,,,2020年9月4日,2022年9月4日
,工业用地,盐城市,阜宁县,盐城市东润科技有限公司,阜城街道办事处城东村,50,挂牌出让,,212,,,,2020年1月22日,0.999953,1.002.00,,盐城市东润科技有限公司,,,,,,,,,,,,,,2020年9月4日,2022年9月4日
,工业用地,盐城市,阜宁县,阜宁航翔阀门有限公司,阜城街道办北周庄村,50,挂牌出让,,76,,,,2020年1月22日,0.357808,1.002.00,,阜宁航翔阀门有限公司,,,,,,,,,,,,,,2020年9月4日,2022年9月4日
,工业用地,盐城市,阜宁县,阜宁航翔阀门有限公司,阜城街道办北周庄村,50,挂牌出让,,75,,,,2020年1月22日,0.357558,1.002.00,,阜宁航翔阀门有限公司,,,,,,,,,,,,,,2020年9月4日,2022年9月4日
,工业用地,盐城市,阜宁县,盐城飞托克阀业有限公司,阜城街道办北周庄村,50,挂牌出让,,74,,,,2020年1月22日,0.350242,1.002.00,,盐城飞托克阀业有限公司,,,,,,,,,,,,,,2020年9月4日,2022年9月4日
,工业用地,盐城市,阜宁县,江苏鹏缘管夹制造有限公司,阜城街道办北周庄村,50,挂牌出让,,74,,,,2020年1月22日,0.349201,1.002.00,,江苏鹏缘管夹制造有限公司,,,,,,,,,,,,,,2020年9月4日,2022年9月4日
,工业用地,盐城市,阜宁县,盐城海轩阀门有限公司,阜城街道办北周庄村,50,挂牌出让,,73,,,,2020年1月22日,0.348161,1.002.00,,盐城海轩阀门有限公司,,,,,,,,,,,,,,2020年9月4日,2022年9月4日
,工业用地,盐城市,阜宁县,阜宁伯利恒阀门有限公司,阜城街道办北周庄村,50,挂牌出让,,73,,,,2020年1月22日,0.34712,1.002.00,,阜宁伯利恒阀门有限公司,,,,,,,,,,,,,,2020年9月4日,2022年9月4日
,工业用地,盐城市,阜宁县,江苏中球阀业有限公司,阜城街道办北周庄村,50,挂牌出让,,73,,,,2020年1月22日,0.347101,1.002.00,,江苏中球阀业有限公司,,,,,,,,,,,,,,2020年9月4日,2022年9月4日
,工业用地,盐城市,阜宁县,盐城大德管夹制造有限公司,阜城街道办北周庄村,50,挂牌出让,,73,,,,2020年1月22日,0.346978,1.002.00,,盐城大德管夹制造有限公司,,,,,,,,,,,,,,2020年9月4日,2022年9月4日
,工业用地,盐城市,阜宁县,盐城曼特阀业有限公司,阜城街道办北周庄村,50,挂牌出让,,73,,,,2020年1月22日,0.346856,1.002.00,,盐城曼特阀业有限公司,,,,,,,,,,,,,,2020年9月4日,2022年9月4日
,工业用地,盐城市,阜宁县,盐城市涵斯特自动化科技有限公司,阜城街道办北周庄村,50,挂牌出让,,73,,,,2020年1月22日,0.346739,1.002.00,,盐城市涵斯特自动化科技有限公司,,,,,,,,,,,,,,2020年9月4日,2022年9月4日
,工业用地,盐城市,阜宁县,盐城堃芯机械科技有限公司,阜城街道办北周庄村,50,挂牌出让,,72,,,,2020年1月22日,0.342117,1.002.00,,盐城堃芯机械科技有限公司,,,,,,,,,,,,,,2020年9月4日,2022年9月4日
,城镇住宅用地,盐城市,建湖县,南环路南侧、湖中路东侧地块二,南环路南侧、湖中路东侧地块二,70,挂牌出让,,26850,,,,2020年1月20日,5.9689,1.002.00,,建湖县旅游发展有限公司,,,,,,,,,,,,,,2020年9月9日,2022年9月9日
,城镇住宅用地,盐城市,建湖县,原高作砖瓦厂地块一,高作镇卞港砖瓦厂地块一,40年，70年,挂牌出让,,9000,,,,2020年1月20日,7.2212,1.001.80,,建湖县新农村建设投资有限公司,,,,,,,,,,,,,,2020年9月9日,2022年9月9日
,城镇住宅用地,盐城市,建湖县,兴建东路北侧、上海路西侧地块一,兴建东路北侧、上海路西侧地块一,40年，70年,挂牌出让,,10900,,,,2020年1月20日,3.8565,1.001.60,,建湖县新农村建设投资有限公司,,,,,,,,,,,,,,2020年9月9日,2022年9月9日
,城镇住宅用地,盐城市,建湖县,科创大厦西侧、南环路北侧地块,科创大厦西侧、南环路北侧地块,70年，40年,挂牌出让,,18300,,,,2020年1月20日,4.3603,1.002.00,,建湖县高新投资发展有限公司,,,,,,,,,,,,,,2020年9月9日,2022年9月9日
,其他商服用地,盐城市,建湖县,明珠路北侧、万有家苑西侧地块,明珠路北侧、万有家苑西侧地块,40,挂牌出让,,2100,,,,2020年1月20日,0.4492,1.001.60,,建湖县湖阳农业发展有限公司,,,,,,,,,,,,,,2020年9月9日,2022年9月9日
,城镇住宅用地,盐城市,建湖县,振阳路北、建南路东侧地块,振阳路北、建南路东侧地块,70年，40年,挂牌出让,,4260,,,,2020年1月20日,1.8176,1.001.60,,建湖县湖阳农业发展有限公司,,,,,,,,,,,,,,2020年9月9日,2022年9月9日
,零售商业用地,盐城市,建湖县,冈西镇233省道北侧地块,上冈镇233省道北侧地块,40,挂牌出让,,3420,,,,2020年1月20日,0.8005,0.800.00,,中国石化销售股份有限公司江苏盐城石油分公司,,,,,,,,,,,,,,2020年9月9日,2022年9月9日
,工业用地,盐城市,阜宁县,阜宁县建设投资有限公司,新沟镇西沙湖村、新沟村,50,挂牌出让,,594,,,,2020年1月20日,2.800629,0.902.00,,阜宁县建设投资有限公司,,,,,,,,,,,,,,2020年9月2日,2022年9月2日
,工业用地,盐城市,阜宁县,江苏菲期特流体科技有限公司,现代服务业园区新丰居委会,50,挂牌出让,,321,,,,2020年1月20日,1.470294,1.002.00,,江苏菲期特流体科技有限公司,,,,,,,,,,,,,,2020年9月2日,2022年9月2日
,工业用地,盐城市,阜宁县,盐城紫运来木业有限公司,羊寨镇镇东居委会,50,挂牌出让,,259,,,,2020年1月20日,1.231287,1.002.00,,盐城紫运来木业有限公司,,,,,,,,,,,,,,2020年9月2日,2022年9月2日
,工业用地,盐城市,阜宁县,江苏哈莫尼装饰材料有限公司,羊寨镇镇东居委会,50,挂牌出让,,222,,,,2020年1月20日,1.059495,1.002.00,,江苏哈莫尼装饰材料有限公司,,,,,,,,,,,,,,2020年9月2日,2022年9月2日
,工业用地,盐城市,阜宁县,阜宁黄海科技有限公司,东沟镇公兴社区双河村,50,挂牌出让,,181,,,,2020年1月20日,0.847469,0.902.00,,阜宁黄海科技有限公司,,,,,,,,,,,,,,2020年9月2日,2022年9月2日
,工业用地,盐城市,阜宁县,阜宁百果羞食品有限公司,羊寨镇镇东居委会,50,挂牌出让,,142,,,,2020年1月20日,0.676646,1.202.00,,阜宁百果羞食品有限公司,,,,,,,,,,,,,,2020年9月2日,2022年9月2日
,工业用地,盐城市,阜宁县,盐城市强哥环保科技有限公司,现代服务业园区新丰居委会,50,挂牌出让,,119,,,,2020年1月20日,0.545465,1.002.00,,盐城市强哥环保科技有限公司,,,,,,,,,,,,,,2020年9月2日,2022年9月2日
,工业用地,盐城市,阜宁县,阜宁泰宇机械设备有限公司,羊寨镇镇东居委会,50,挂牌出让,,105,,,,2020年1月20日,0.499942,1.002.00,,阜宁泰宇机械设备有限公司,,,,,,,,,,,,,,2020年9月2日,2022年9月2日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,阜宁高新技术产业开发区王庄村,50,挂牌出让,,103,,,,2020年1月20日,0.479091,1.2,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2020年9月2日,2022年9月2日
,工业用地,盐城市,阜宁县,阿特斯阜宁光伏发电有限公司,益林镇大东居委会,50,挂牌出让,,27,,,,2020年1月20日,0.124903,0.301.20,,阿特斯阜宁光伏发电有限公司,,,,,,,,,,,,,,2020年9月2日,2022年9月2日
,工业用地,盐城市,阜宁县,阿特斯阜宁光伏发电有限公司,阜宁高新技术产业开发区兴庄村,50,挂牌出让,,18,,,,2020年1月20日,0.083575,0.400.50,,阿特斯阜宁光伏发电有限公司,,,,,,,,,,,,,,2020年9月2日,2022年9月2日
,工业用地,盐城市,阜宁县,阜宁卓茂新能源开发有限公司,阜宁高新技术产业开发区兴庄村,50,挂牌出让,,12,,,,2020年1月20日,0.055233,0.400.50,,阜宁卓茂新能源开发有限公司,,,,,,,,,,,,,,2020年9月2日,2022年9月2日
,工业用地,盐城市,射阳县,射阳县黄沙港镇磊磊电气设备加工厂,射阳县黄沙港镇临海高等级公路西侧污水处理厂北侧,50,挂牌出让,,177.27,,,,2020年1月19日,1.1818,1.002.50,,射阳县黄沙港镇磊磊电气设备加工厂,,,,,,,,,,,,,,2021年4月19日,2023年4月18日
,工业用地,盐城市,射阳县,射阳县胜鹏机械有限公司,黄沙港镇临海高等级公路西侧、黄沙河北侧,50,挂牌出让,,290.355,,,,2020年1月19日,1.9357,1.002.50,,射阳县胜鹏机械有限公司,,,,,,,,,,,,,,2021年4月19日,2022年4月18日
,社会福利用地,盐城市,射阳县,射阳县德雅养老公寓,射阳县海通镇兴海路北侧通灵河东侧,50,挂牌出让,,304.5448,,,,2020年1月19日,0.7769,0.002.00,,射阳县德雅养老公寓,,,,,,,,,,,,,,2021年4月19日,2023年4月18日
,工业用地,盐城市,射阳县,盐城市视远真空设备有限公司,射阳县合德傎工业园区北环路北侧长江铝业西侧,50,挂牌出让,,453.339,,,,2020年1月19日,2.6667,1.002.50,,盐城市视远真空设备有限公司,,,,,,,,,,,,,,2021年4月19日,2023年4月18日
,工业用地,盐城市,射阳县,盐城钜宝炉业有限公司,合德镇工业园区北环路北侧、视远真空西侧,50,挂牌出让,,453.339,,,,2020年1月19日,2.6667,1.002.50,,盐城钜宝炉业有限公司,,,,,,,,,,,,,,2021年4月19日,2023年4月18日
,工业用地,盐城市,射阳县,盐城博昂机械有限公司,射阳县合德镇工业园区海润新能源西侧春晖路南侧,50,挂牌出让,,226.661,,,,2020年1月19日,1.3333,1.002.50,,盐城博昂机械有限公司,,,,,,,,,,,,,,2021年4月19日,2023年4月18日
,工业用地,盐城市,射阳县,盐城市三新仓储有限公司,临海镇陈李线西侧,50,挂牌出让,,187.448,,,,2020年1月19日,1.25804,1.002.50,,盐城市三新仓储有限公司,,,,,,,,,,,,,,2021年4月19日,2023年4月18日
,社会福利用地,盐城市,滨海县,盐城荣旺养老服务有限公司,滨海县界牌镇周庄村S327东侧（七排河南、九公里桥北）,40,挂牌出让,,707.1788,,,,2020年1月18日,2.40537,1.001.05,,盐城荣旺养老服务有限公司,,,,,,,,,,,,,,2020年4月18日,2022年1月18日
,城镇住宅用地,盐城市,盐城市本级,盐马路东、希望路北侧,盐城市盐南高新区黄海街道办事处耿伙村三、六组,70,挂牌出让,,133437.2,,,,2020年1月17日,5.0224,1.002.40,,中海宏洋地产集团有限公司,,,,,,,,,,,,,,2020年12月17日,2023年12月17日
,城镇住宅用地,盐城市,盐城市本级,盐马路东、东进路北侧,盐城市盐南高新区黄海街道办事处耿伙村四、五组,70,挂牌出让,,59204.8832,,,,2020年1月17日,3.3652,1.002.70,,深圳市中海投资有限公司,,,,,,,,,,,,,,2020年12月17日,2023年12月17日
,零售商业用地,盐城市,东台市,东台福拓置业有限公司,东台市安丰镇兴丰路东侧、安康路北侧,40,挂牌出让,,1483.86,,,,2020年1月17日,2.8264,1.001.30,,东台福拓置业有限公司,,,,,,,,,,,,,,2020年11月17日,2023年11月17日
,城镇住宅用地,盐城市,滨海县,滨海县城镇建设发展有限公司,滨海县海滨大道南侧、城东大道西侧,70,挂牌出让,,14670.4954,,,,2020年1月17日,5.4802,1.002.40,,滨海县城镇建设发展有限公司,,,,,,,,,,,,,,2020年4月17日,2022年4月17日
,城镇住宅用地,盐城市,亭湖区,盐城圣桦京府置业有限公司,盐城市亭湖新区光荣社区居民委员会,70,挂牌出让,,74988.1875,,,,2020年1月16日,12.6875,1.001.90,,盐城圣桦京府置业有限公司,,,,,,,,,,,,,,2021年1月16日,2024年1月16日
,城镇住宅用地,盐城市,建湖县,明星路西侧、原宏丰彩印厂地块,明星路西侧、原宏丰彩印厂地块,70年，40年,挂牌出让,,4350,,,,2020年1月16日,2.1148,1.001.50,,江苏开诚置业有限公司,,,,,,,,,,,,,,2020年9月7日,2022年9月7日
,城镇住宅用地,盐城市,盐城市本级,星汇居住项目,盐城经济技术开发区新城街道三洼村,70,挂牌出让,,41881.5,,,,2020年1月16日,5.5842,1.002.46,,盐城星汇房地产开发有限公司,,,,,,,,,,,,,,2021年1月16日,2024年1月16日
,城镇住宅用地,盐城市,盐城市本级,星汇居住项目2,盐城经济技术开发区新城街道三洼村,70,挂牌出让,,47071.44,,,,2020年1月16日,6.5377,1.002.20,,盐城星汇房地产开发有限公司,,,,,,,,,,,,,,2021年1月16日,2024年1月16日
,其他商服用地,盐城市,滨海县,滨海县农旅集团有限公司,滨海县滨淮镇S327北侧、S226东侧,40,挂牌出让,,2107.4129,,,,2020年1月14日,1.866619,1.001.50,,滨海县农旅集团有限公司,,,,,,,,,,,,,,2020年3月14日,2022年3月14日
,城镇住宅用地,盐城市,滨海县,周安荣,滨海县滨淮镇双舍村六组（S226西侧）、兴隆商贸城西侧,70,挂牌出让,,509.5157,,,,2020年1月14日,0.47977,1.002.00,,周安荣,,,,,,,,,,,,,,2020年3月14日,2022年3月14日
,城镇住宅用地,盐城市,滨海县,李明高,滨海县滨淮镇S226西侧、纬四路南侧,70,挂牌出让,,2017.3131,,,,2020年1月13日,1.11208,1.002.20,,李明高,,,,,,,,,,,,,,2020年3月13日,2022年3月13日
,城镇住宅用地,盐城市,建湖县,府右路西侧、崔墩路南侧地块,府右路西侧、崔墩路南侧地块,70年，40年,挂牌出让,,39000,,,,2020年1月10日,8.6681,1.002.00,,建湖县城市建设投资有限公司,,,,,,,,,,,,,,2020年8月30日,2022年8月30日
,城镇住宅用地,盐城市,建湖县,南环路南侧、湖中路东侧地块一,南环路南侧、湖中路东侧地块一,40年，70年,挂牌出让,,36100,,,,2020年1月10日,8.035,1.002.00,,建湖县城市建设投资有限公司,,,,,,,,,,,,,,2020年8月30日,2022年8月30日
,城镇住宅用地,盐城市,建湖县,府右路东侧、崔墩路北侧地块,府右路东侧、崔墩路北侧地块,40年，70年,挂牌出让,,39100,,,,2020年1月10日,8.6416,1.002.00,,建湖县城市建设投资有限公司,,,,,,,,,,,,,,2020年8月30日,2022年8月30日
,教育用地,盐城市,建湖县,人民路东侧、正义路南侧地块一,人民路东侧、正义路南侧地块一,40,挂牌出让,,14050,,,,2020年1月10日,6.4286,0.601.20,,建湖县城市建设投资有限公司,,,,,,,,,,,,,,2020年8月30日,2022年8月30日
,其他商服用地,盐城市,射阳县,合顺安置小区,射阳县合德镇合顺村,40,协议出让,,461.8797,,,,2020年1月10日,0.23674,1.003.50,,射阳县安居经济适用住房发展中心,,,,,,,,,,,,,,2020年1月10日,2020年1月10日
,公路用地,盐城市,亭湖区,泰山中路（太湖路至小新河路）项目,盐城市亭湖新区光荣社区居民委员会,,划拨,,,,,,2020年1月9日,0.4966,,,盐城市亭湖城市资产投资实业有限公司,,,,,,,,,,,,,,2020年11月9日,2022年11月9日
,城镇住宅用地,盐城市,滨海县,滨海县城镇建设发展有限公司,滨海县新安大道南侧、仲景路东侧,70,挂牌出让,,9892.8788,,,,2020年1月9日,6.64844,1.002.00,,滨海县城镇建设发展有限公司,,,,,,,,,,,,,,2020年3月9日,2022年4月9日
,城镇住宅用地,盐城市,亭湖区,盐城国联投资发展有限公司,盐城市亭湖区南洋镇三尖居委会一、三组,70,挂牌出让,,3935.1702,,,,2020年1月8日,5.1306,1.002.20,,盐城国联投资发展有限公司,,,,,,,,,,,,,,2020年4月30日,2020年9月30日
,城镇住宅用地,盐城市,盐城市本级,诚邦居住项目,盐城经济技术开发区新城街道蔡尖社区居委会、北舍村,70,挂牌出让,,90805.8225,,,,2020年1月8日,12.4819,1.002.55,,盐城诚邦地产开发有限公司,,,,,,,,,,,,,,2021年1月8日,2024年1月8日
,零售商业用地,盐城市,阜宁县,阜宁县新城置业有限公司,阜城街道办事处锦仁村,40,挂牌出让,,24269,,,,2020年1月7日,5.394893,2.002.50,,阜宁县新城置业有限公司,,,,,,,,,,,,,,2021年4月9日,2023年4月9日
,城镇住宅用地,盐城市,东台市,新曹农场职工宿舍楼,新曹农场天香路东侧,,划拨,,0,,,,2020年1月6日,0.2609,1.041.04,,江苏省农垦新曹农场社区管理委员会,,,,,,,,,,,,,,2020年4月26日,2020年10月26日
,文化设施用地,盐城市,东台市,新时代文明实践站,新街镇方东村新陈路东侧,,划拨,,10.721,,,,2020年1月3日,0.1775,0.56,,东台市新街镇人民政府,,,,,,,,,,,,,,2020年6月12日,2020年12月12日
,城镇住宅用地,盐城市,阜宁县,阜宁县沃森污水处理有限公司,阜城街道办事处城南村,40年，70年,挂牌出让,,15022,,,,2019年12月31日,3.333,1.002.50,,阜宁县沃森污水处理有限公司,,,,,,,,,,,,,,2021年4月9日,2023年4月9日
,城镇住宅用地,盐城市,阜宁县,阜宁县新城置业有限公司,益林镇大东居委会,40年，70年,挂牌出让,,13778,,,,2019年12月31日,5.138603,1.003.50,,阜宁县新城置业有限公司,,,,,,,,,,,,,,2021年4月9日,2023年4月9日
,城镇村道路用地,盐城市,东台市,新街镇府前东路东延及配套工程,新街镇府前东路东延、串场河东侧,,划拨,,92.255,,,,2019年12月30日,1.5274,,,东台市新街镇人民政府,,,,,,,,,,,,,,2020年6月12日,2020年12月12日
,城镇住宅用地,盐城市,阜宁县,江苏易桥建设发展有限公司,阜宁经济开发区专榆居委会,40年，70年,挂牌出让,,26342,,,,2019年12月30日,5.000686,1.003.50,,盐城易桥建设发展有限公司,,,,,,,,,,,,,,2020年9月12日,2022年9月12日
,城镇住宅用地,盐城市,阜宁县,江苏易桥建设发展有限公司,阜宁经济开发区专榆居委会,40年，70年,挂牌出让,,26540,,,,2019年12月30日,5.000001,1.003.50,,盐城易桥建设发展有限公司,,,,,,,,,,,,,,2020年9月12日,2022年9月12日
,城镇住宅用地,盐城市,阜宁县,阜宁县自来水有限公司,阜城街道办事处窑桥村,70年，40年,挂牌出让,,25404,,,,2019年12月30日,6.993333,2.003.50,,阜宁县自来水有限公司,,,,,,,,,,,,,,2020年9月12日,2022年9月12日
,零售商业用地,盐城市,阜宁县,阜宁县康达农业水利建设有限公司,阜城街道办事处和平居委会,40,挂牌出让,,24760,,,,2019年12月30日,4.866745,1.002.00,,阜宁县康达农业水利建设有限公司,,,,,,,,,,,,,,2020年9月12日,2022年9月12日
,零售商业用地,盐城市,阜宁县,江苏易桥建设发展有限公司,吴滩街道办事处吴滩居委会,40,挂牌出让,,7098,,,,2019年12月30日,1.999941,1.002.50,,盐城易桥建设发展有限公司,,,,,,,,,,,,,,2020年9月12日,2022年9月12日
,工业用地,盐城市,大丰市,盐城金悦纺织工艺有限公司,万盈镇六里村五组,50,挂牌出让,,231.12,,,,2019年12月26日,1.1852,1.302.00,,盐城金悦纺织工艺有限公司,,,,,,,,,,,,,,2020年12月26日,2022年12月26日
,城镇住宅用地,盐城市,大丰市,盐城市大丰区振城建设有限公司,通港大道南侧、康平路东侧,70年，40年,挂牌出让,,7800,,,,2019年12月26日,4.8561,1.002.20,,盐城市大丰区振城建设有限公司,,,,,,,,,,,,,,2020年12月26日,2022年12月26日
,公路用地,盐城市,射阳县,航空科技城兴宇路,射阳经济开发区境内,,划拨,,0,,,,2019年12月25日,1.9142,0.000.00,,江苏射阳东升航空产业发展有限公司,,,,,,,,,,,,,,2020年6月9日,2022年6月8日
,公路用地,盐城市,射阳县,航空科技城飞达路,射阳经济开发区航空科技城,,划拨,,0,,,,2019年12月19日,2.1573,0.000.00,,江苏射阳东升航空产业发展有限公司,,,,,,,,,,,,,,2020年6月16日,2022年6月15日
,其他商服用地,盐城市,滨海县,国网江苏省电力有限公司滨海县供电分公司,滨海县育才西路北侧、西湖路东侧,40,挂牌出让,,2167.2654,,,,2019年12月17日,1.7119,0.001.00,,国网江苏省电力有限公司滨海县供电分公司,,,,,,,,,,,,,,2020年2月18日,2022年2月18日
,工业用地,盐城市,建湖县,江苏杰林森石油装备有限公司年产5000台（套）油田机械配件项目,高作镇西站村五组,50,挂牌出让,,168.399,,,,2019年12月16日,1.0206,1,,江苏杰林森石油装备有限公司,,,,,,,,,,,,,,2020年12月31日,2022年12月30日
,工业用地,盐城市,建湖县,盐城市捷源机电科技有限公司新建电机整机及配套零部件生产项目,庆丰镇廖庄村一组,50,挂牌出让,,197.6205,,,,2019年12月16日,1.1977,1,,盐城市捷源机电科技有限公司,,,,,,,,,,,,,,2020年11月30日,2022年11月29日
,工业用地,盐城市,建湖县,江苏林泰工程机械制造有限公司年产1000台（套）工程机械项目,塘河街道办事处李夏村三组、四组,50,挂牌出让,,630,,,,2019年12月16日,4.2,1.001.20,,江苏林泰工程机械制造有限公司,,,,,,,,,,,,,,2020年11月30日,2022年11月29日
,工业用地,盐城市,建湖县,江苏省德诚测控设备有限公司年产600台套石油测控设备项目,塘河街道胜利村长沟组,50,挂牌出让,,377.22,,,,2019年12月16日,2.5148,1.001.50,,江苏省德诚测控设备有限公司,,,,,,,,,,,,,,2020年12月31日,2022年12月30日
,工业用地,盐城市,建湖县,建湖县高新投资发展有限公司新建县通航装备制造产业园项目,塘河街道李夏村三组、四组,50,挂牌出让,,1285.11,,,,2019年12月16日,8.5674,1.002.00,,建湖县高新投资发展有限公司,,,,,,,,,,,,,,2020年12月31日,2022年12月30日
,工业用地,盐城市,建湖县,江苏舜峰新材料科技股份有限公司年产40万立方米沥青混凝土项目,钟庄街道新东村东北组,50,挂牌出让,,298.32,,,,2019年12月16日,1.9888,0.9,,江苏舜峰新材料科技股份有限公司,,,,,,,,,,,,,,2020年12月31日,2022年12月30日
,工业用地,盐城市,建湖县,建湖县博奥液压机械制造有限公司年产30000台（套）减速机配件项目,建阳镇马厂村三组,50,挂牌出让,,94.382,,,,2019年12月16日,0.4604,1.001.20,,建湖县博奥液压机械制造有限公司,,,,,,,,,,,,,,2020年12月31日,2022年12月30日
,工业用地,盐城市,建湖县,建湖东烨机械有限公司年产10000台（套）汽油发电机配件项目,建阳镇马厂村三组,50,挂牌出让,,68.306,,,,2019年12月16日,0.3332,1.001.20,,建湖东烨机械有限公司,,,,,,,,,,,,,,2020年12月31日,2022年12月30日
,工业用地,盐城市,建湖县,江苏多特机械有限公司新上机械配件项目,建阳镇马厂村二组,50,挂牌出让,,273.2445,,,,2019年12月16日,1.3329,1.001.20,,江苏多特机械有限公司,,,,,,,,,,,,,,2020年12月31日,2022年12月30日
,工业用地,盐城市,建湖县,江苏英能新能源科技有限公司年产180000万安时锂离子动力储能电池项目,颜单镇七里村二组,50,挂牌出让,,644.955,,,,2019年12月16日,4.2997,1.001.50,,江苏英能新能源科技有限公司,,,,,,,,,,,,,,2020年12月31日,2022年12月30日
,工业用地,盐城市,建湖县,江苏丰力豪石油机械有限公司年产2万件阀门及锻件项目,建阳镇丰喜村一组,50,挂牌出让,,885.096,,,,2019年12月16日,4.9172,1.001.20,,江苏丰力豪石油机械有限公司,,,,,,,,,,,,,,2020年12月31日,2022年12月30日
,工业用地,盐城市,建湖县,建湖县科达机械有限公司年产50万件减速机配件技改项目,建阳镇马厂村三组,50,挂牌出让,,122.2825,,,,2019年12月16日,0.5965,1.001.50,,建湖县科达机械有限公司,,,,,,,,,,,,,,2020年12月31日,2022年12月30日
,城镇住宅用地,盐城市,滨海县,上海欧堡利亚股权投资管理集团有限公司,滨海县阜东大街东侧、环城路北侧,70,挂牌出让,,26620.5915,,,,2019年12月16日,6.6735,1.002.00,,上海欧堡利亚股权投资管理集团有限公司,,,,,,,,,,,,,,2020年2月16日,2022年2月16日
,交通服务场站用地,盐城市,盐都区,公交调度中心停保场二期工程项目,盐城市盐都区盐渎街道办事处野丁居委会一、二组,,划拨,,0,,,,2019年12月16日,1.9238,0.000.12,,盐城市公共交通总公司,,,,,,,,,,,,,,2020年4月16日,2022年4月15日
,工业用地,盐城市,东台市,江苏圳川科技有限公司,安丰镇安南工业园,50,挂牌出让,,546.2424,,,,2019年12月13日,3.1944,0.700.00,,江苏圳川科技有限公司,,,,,,,,,,,,,,2020年8月13日,2022年2月13日
,城镇住宅用地,盐城市,盐城市本级,江苏博雄置业有限公司,盐城市盐南高新区新河街道办事处新河社区,70,挂牌出让,,15089.52,,,,2019年12月13日,3.3493,1.002.40,,盐城兴邦置业有限公司,,,,,,,,,,,,,,2020年9月11日,2023年9月11日
,工业用地,盐城市,东台市,佳业科技（东台）有限公司空气净化设备制造项目,沿海区港区四路北侧,50,挂牌出让,,479.0856,,,,2019年12月13日,2.8517,1.000.00,,佳业科技(东台)有限公司,,,,,,,,,,,,,,2020年9月13日,2022年3月13日
,城镇住宅用地,盐城市,滨海县,滨海华舜置业有限公司,滨海县人民大街东侧、凤鸣路南侧,70,挂牌出让,,19148.793,,,,2019年12月12日,5.0685,1.001.80,,滨海华舜置业有限公司,,,,,,,,,,,,,,2020年2月12日,2022年2月12日
,公用设施用地,盐城市,阜宁县,盐城羊寨110千伏输变电工程,阜宁县羊寨镇后沙岗村,,划拨,,0,,,,2019年12月12日,0.34277,0.200.50,,国网江苏省电力有限公司盐城供电分公司,,,,,,,,,,,,,,2019年12月22日,2021年12月22日
,公路用地,盐城市,射阳县,航空科技城飞翔路,开发区伍份村、中心村,,划拨,,0,,,,2019年12月12日,5.1398,0.000.00,,江苏射阳东升航空产业发展有限公司,,,,,,,,,,,,,,2020年6月9日,2022年6月8日
,公路用地,盐城市,射阳县,后湾南北中心二路,开发区后湾村,,划拨,,0,,,,2019年12月12日,1.1748,0.000.00,,江苏裕华投资开发集团有限公司,,,,,,,,,,,,,,2020年6月11日,2022年6月10日
,公用设施用地,盐城市,大丰市,垃圾分类处理中心建设项目,盐城市大丰区大中街道红花村二组,,划拨,,,,,,2019年12月12日,1.4382,0.8,,盐城市大丰区城市管理局,,,,,,,,,,,,,,2020年9月25日,2022年9月25日
,工业用地,盐城市,东台市,江苏浦能通用电气有限公司自用仓库项目,五烈镇文华村东五公路北侧,50,挂牌出让,,86.697,,,,2019年12月11日,0.507,1,,江苏浦能通用电气有限公司,,,,,,,,,,,,,,2020年8月11日,2021年8月11日
,公路用地,盐城市,射阳县,航空科技城兴航路工程,开发区中心村,,划拨,,0,,,,2019年12月11日,2.0202,0.000.00,,江苏射阳东升航空产业发展有限公司,,,,,,,,,,,,,,2020年6月5日,2022年6月4日
,工业用地,盐城市,阜宁县,盐城昊宇风电设备技术服务有限公司,吴滩街道办吴滩居委会,50,挂牌出让,,109,,,,2019年12月10日,0.518276,0.902.00,,盐城昊宇风电设备技术服务有限公司,,,,,,,,,,,,,,2020年7月20日,2022年7月20日
,工业用地,盐城市,阜宁县,盐城视创电子科技有限公司,吴滩街道办吴滩居委会,50,挂牌出让,,62,,,,2019年12月10日,0.296038,1.302.00,,盐城视创电子科技有限公司,,,,,,,,,,,,,,2020年7月20日,2022年7月20日
,工业用地,盐城市,阜宁县,阜宁辛得利机械科技有限公司,吴滩街道办事处吴滩居委会,50,挂牌出让,,59,,,,2019年12月10日,0.282982,1.002.00,,阜宁辛得利机械科技有限公司,,,,,,,,,,,,,,2020年7月20日,2022年7月20日
,工业用地,盐城市,阜宁县,盐城市华研复合材料有限公司,吴滩街道办事处吴滩居委会,50,挂牌出让,,52,,,,2019年12月10日,0.246644,1.002.00,,盐城市华研复合材料有限公司,,,,,,,,,,,,,,2020年7月20日,2023年7月20日
